blocked_id,timestamp,symbol,direction,strategy,confidence,entry_price,stop_loss,take_profit,blocked_reason,session,position_size_units,risk_amount,margin_required,market_conditions,indicators
BLOCKED_NZD_USD_1770595488801,2026-02-09T00:04:49.321093,NZD_USD,buy,trend_following,0.8800000000000001,0.60297,0.59697,0.61597,Pre-check margin insufficient: 0.40x,tokyo,123384,544.1234400000005,1820.90011392324,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.0007431857961690637, ""spread_pips"": 1.40000000000029, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 0.8, ""regime"": ""neutral""}","{""rsi"": 71.87963882832899, ""macd"": 0.00030995967325775364, ""macd_signal"": 0.0001747441472258642, ""bb_upper"": 0.6032520941991656, ""bb_lower"": 0.601043905800834, ""atr"": 0.0007431857961690637, ""momentum"": 0.0008500000000000174, ""stoch_k"": 92.80956163484127, ""stoch_d"": 91.68054195563504}"
BLOCKED_EUR_GBP_1770595491594,2026-02-09T00:04:51.921670,EUR_GBP,buy,trend_following,0.8500000000000001,0.86899,0.86299,0.88199,Pre-check margin insufficient: 0.21x,tokyo,89197,535.1820000000006,2238.610861064523,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.000532707203393601, ""spread_pips"": 1.2000000000000899, ""trend_strength"": 0.5, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 0.5, ""regime"": ""neutral""}","{""rsi"": 58.89569762620132, ""macd"": 0.0001725360561570799, ""macd_signal"": 0.00018496912596036998, ""bb_upper"": 0.8693449107053466, ""bb_lower"": 0.8682250892946539, ""atr"": 0.000532707203393601, ""momentum"": 0.00036000000000002697, ""stoch_k"": 55.55555555555466, ""stoch_d"": 52.263374485595456}"
BLOCKED_NZD_USD_1770595601058,2026-02-09T00:06:41.571471,NZD_USD,buy,trend_following,0.8800000000000001,0.60321,0.59721,0.61621,Pre-check margin insufficient: 0.48x,tokyo,123389,544.1454900000006,1821.6987056770954,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.000743672531425512, ""spread_pips"": 1.4999999999998348, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 0.8, ""regime"": ""neutral""}","{""rsi"": 71.87963658842254, ""macd"": 0.00033906985787612864, ""macd_signal"": 0.00020760932837720462, ""bb_upper"": 0.6033967501871442, ""bb_lower"": 0.6010552498128554, ""atr"": 0.000743672531425512, ""momentum"": 0.0010700000000000154, ""stoch_k"": 90.87873824947262, ""stoch_d"": 91.97569937437062}"
BLOCKED_NZD_USD_1770595688931,2026-02-09T00:08:09.448799,NZD_USD,buy,trend_following,0.8800000000000001,0.60326,0.59726,0.61626,Pre-check margin insufficient: 0.65x,tokyo,123394,544.1675400000005,1821.9235315012204,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.000743672531425512, ""spread_pips"": 1.7000000000000348, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 0.8, ""regime"": ""neutral""}","{""rsi"": 71.87963658842254, ""macd"": 0.00033906985787612864, ""macd_signal"": 0.00020760932837720462, ""bb_upper"": 0.6033967501871442, ""bb_lower"": 0.6010552498128554, ""atr"": 0.000743672531425512, ""momentum"": 0.0010700000000000154, ""stoch_k"": 90.87873824947262, ""stoch_d"": 91.97569937437062}"
BLOCKED_USD_JPY_1770777185471,2026-02-11T02:33:05.992076,USD_JPY,sell,trend_following,0.9,153.749,154.349,152.44899999999998,Pre-check margin insufficient: 0.04x,tokyo,200335,600.7645979999943,753877.3629225825,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.10087965658646711, ""spread_pips"": 1.9000000000005457, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -1.0, ""regime"": ""neutral""}","{""rsi"": 33.30852035877675, ""macd"": -0.10117299819478376, ""macd_signal"": -0.09980498573495847, ""bb_upper"": 154.1055485975312, ""bb_lower"": 153.78475140246866, ""atr"": 0.10087965658646711, ""momentum"": -0.20199999999999818, ""stoch_k"": 15.058582566178346, ""stoch_d"": 18.6800187934018}"
BLOCKED_EUR_JPY_1770780208450,2026-02-11T03:23:29.492348,EUR_JPY,sell,trend_following,0.89,182.971,183.571,181.671,Pre-check margin insufficient: 0.04x,tokyo,198997,596.7522035999942,1051580.128553855,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.1070332314351863, ""spread_pips"": 2.400000000000091, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.8999999999999999, ""regime"": ""neutral""}","{""rsi"": 36.96125371894457, ""macd"": -0.09713036740899383, ""macd_signal"": -0.0926419733520489, ""bb_upper"": 183.31004010987158, ""bb_lower"": 182.89145989012815, ""atr"": 0.1070332314351863, ""momentum"": -0.19200000000000728, ""stoch_k"": 21.911025519902037, ""stoch_d"": 15.75817390778974}"
BLOCKED_USD_JPY_1770780211135,2026-02-11T03:23:31.640136,USD_JPY,sell,trend_following,0.87,153.676,154.27599999999998,152.37599999999998,Pre-check margin insufficient: 0.04x,tokyo,206965,620.6466419999941,778456.82077317,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.10479239269476005, ""spread_pips"": 1.2000000000000455, ""trend_strength"": -0.5, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.7, ""regime"": ""neutral""}","{""rsi"": 38.692379805047864, ""macd"": -0.11295534887693748, ""macd_signal"": -0.11666910135104909, ""bb_upper"": 154.0744410051579, ""bb_lower"": 153.53525899484197, ""atr"": 0.10479239269476005, ""momentum"": -0.125, ""stoch_k"": 24.551282051277752, ""stoch_d"": 16.12659782151097}"
BLOCKED_EUR_JPY_1770780306893,2026-02-11T03:25:07.908609,EUR_JPY,sell,trend_following,0.89,182.966,183.566,181.666,Pre-check margin insufficient: 0.04x,tokyo,202855,608.3215739999941,1071938.0577874437,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.1070332314351863, ""spread_pips"": 2.5999999999982037, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.8999999999999999, ""regime"": ""neutral""}","{""rsi"": 36.96125371894457, ""macd"": -0.09713036740899383, ""macd_signal"": -0.0926419733520489, ""bb_upper"": 183.31004010987158, ""bb_lower"": 182.89145989012815, ""atr"": 0.1070332314351863, ""momentum"": -0.19200000000000728, ""stoch_k"": 21.911025519902037, ""stoch_d"": 15.75817390778974}"
BLOCKED_USD_JPY_1770780308853,2026-02-11T03:25:09.362065,USD_JPY,sell,trend_following,0.875,153.62,154.22,152.32,Pre-check margin insufficient: 0.04x,tokyo,211495,634.231205999994,795205.6149334501,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.10479239269476005, ""spread_pips"": 1.8000000000000682, ""trend_strength"": -0.5, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.75, ""regime"": ""neutral""}","{""rsi"": 38.692379805047864, ""macd"": -0.11295534887693748, ""macd_signal"": -0.11666910135104909, ""bb_upper"": 154.0744410051579, ""bb_lower"": 153.53525899484197, ""atr"": 0.10479239269476005, ""momentum"": -0.125, ""stoch_k"": 24.551282051277752, ""stoch_d"": 16.12659782151097}"
BLOCKED_USD_JPY_1770780404469,2026-02-11T03:26:44.988157,USD_JPY,sell,trend_following,0.89,153.67,154.26999999999998,152.36999999999998,Pre-check margin insufficient: 0.04x,tokyo,213239,639.4611131999939,802023.882975315,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.10280722159259695, ""spread_pips"": 1.700000000002433, ""trend_strength"": -0.5, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.8999999999999999, ""regime"": ""neutral""}","{""rsi"": 36.48724024401829, ""macd"": -0.10821331812141466, ""macd_signal"": -0.1149779590497609, ""bb_upper"": 154.04677032458065, ""bb_lower"": 153.5301296754192, ""atr"": 0.10280722159259695, ""momentum"": -0.033999999999991815, ""stoch_k"": 28.632478632475422, ""stoch_d"": 22.90394790394471}"
