status,trade_id,symbol,direction,strategy,confidence,entry_time,entry_price,exit_time,exit_price,tp_set,sl_set,pnl_gbp,pnl_pips,duration_minutes,position_size,session,day_of_week,hour_of_day,exit_reason,market_regime,volatility_at_entry,spread_pips,atr_pips,order_flow_bias,multi_tf_alignment,max_favorable_excursion_pips,max_adverse_excursion_pips,market_conditions_json,indicators_json
TRADED,99104,GBP_USD,sell,unknown_restart,0.0,2026-02-27T01:01:11.658896897Z,1.34875,2026-02-27T13:37:20.572600735Z,1.34465,0.0,0.0,85.8698,40.99999999999993,756,28302.0,,Friday,1,take_profit,,,,,,,,,{},{}
TRADED,99097,USD_CAD,buy,unknown_restart,0.0,2026-02-26T15:27:03.032383596Z,1.37063,2026-02-27T15:08:20.459378456Z,1.36473,0.0,0.0,-143.8284,-59.00000000000016,1421,44556.0,,Thursday,15,stop_loss,,,,,,,,,{},{}
TRADED,99070,AUD_USD,buy,unknown_restart,0.0,2026-02-23T08:31:25.450855485Z,0.70793,2026-02-25T17:26:37.099070449Z,0.71202,0.0,0.0,97.6399,40.90000000000038,3415,32543.0,,Monday,8,take_profit,,,,,,,,,{},{}
TRADED,99066,USD_CAD,sell,unknown_restart,0.0,2026-02-23T00:07:09.652765003Z,1.36509,2026-02-24T01:18:19.506985511Z,1.37098,0.0,0.0,-124.3588,-58.900000000001725,1511,38836.0,,Monday,0,stop_loss,,,,,,,,,{},{}
TRADED,99062,EUR_USD,buy,unknown_restart,0.0,2026-02-23T00:03:12.924465324Z,1.18275,2026-02-24T04:32:50.746830511Z,1.17683,0.0,0.0,-124.9367,-59.19999999999925,1709,28309.0,,Monday,0,stop_loss,,,,,,,,,{},{}
TRADED,99047,GBP_USD,buy,unknown_restart,0.0,2026-02-20T15:15:53.651807611Z,1.35035,2026-02-25T16:43:18.100312675Z,1.35451,0.0,0.0,108.117,41.600000000001636,7287,35382.0,,Friday,15,take_profit,,,,,,,,,{},{}
TRADED,99039,NZD_USD,sell,unknown_restart,0.0,2026-02-20T02:23:11.188069375Z,0.59419,2026-02-22T23:54:43.597620031Z,0.60009,0.0,0.0,-133.3726,-59.00000000000016,4171,30424.0,,Friday,2,stop_loss,,,,,,,,,{},{}
TRADED,99035,AUD_USD,sell,unknown_restart,0.0,2026-02-20T01:52:27.993933476Z,0.70281,2026-02-20T15:01:44.117505993Z,0.7087,0.0,0.0,-130.285,-58.89999999999951,789,29716.0,,Friday,1,stop_loss,,,,,,,,,{},{}
TRADED,99028,USD_CAD,buy,unknown_restart,0.0,2026-02-19T14:44:10.510969919Z,1.37091,2026-02-22T23:57:57.637313983Z,1.365,0.0,0.0,-157.6115,-59.10000000000082,4873,49010.0,,Thursday,14,stop_loss,,,,,,,,,{},{}
TRADED,99025,USD_CAD,buy,unknown_restart,0.0,2026-02-19T14:42:00.757980775Z,1.3715,2026-02-22T23:50:05.214731806Z,1.3656,0.0,0.0,-151.2985,-59.00000000000016,4868,47123.0,,Thursday,14,stop_loss,,,,,,,,,{},{}
TRADED,99018,GBP_USD,sell,unknown_restart,0.0,2026-02-19T14:12:30.083074140Z,1.34463,2026-02-20T15:13:41.532854375Z,1.35057,0.0,0.0,-151.0709,-59.40000000000056,1501,34176.0,,Thursday,14,stop_loss,,,,,,,,,{},{}
TRADED,99010,EUR_USD,sell,unknown_restart,0.0,2026-02-19T12:41:09.394321424Z,1.17721,2026-02-22T23:57:50.681790443Z,1.18312,0.0,0.0,-145.1279,-59.0999999999986,4996,33056.0,,Thursday,12,stop_loss,,,,,,,,,{},{}
