timestamp,trade_id,symbol,direction,strategy,confidence,entry_price,stop_loss,take_profit,position_size,risk_amount,market_conditions,indicators,status,blocked_reason,exit_time,exit_price,pnl,pnl_pips,exit_reason,max_favorable,max_adverse,duration_minutes,session,order_flow_bias,multi_tf_alignment
2025-10-29T00:03:57.266731,19642,EUR_JPY,sell,trend_following,0.8800000000000001,176.751,176.98999999999998,175.35999999999999,456405,653.346404,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.0972583111130922, ""spread_pips"": 2.5999999999982037, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.8, ""regime"": ""neutral""}","{""rsi"": 17.139618508083977, ""macd"": -0.04672139370566697, ""macd_signal"": -0.012195905478089106, ""bb_upper"": 177.44176929032287, ""bb_lower"": 177.04583070967718, ""atr"": 0.0972583111130922, ""momentum"": -0.36199999999999477, ""stoch_k"": 14.4267707805193, ""stoch_d"": 24.42335532584121}",EXECUTED,,,,,,,,,,tokyo,0.0,True
2025-10-30T15:06:29.716581,19728,GBP_USD,sell,momentum_pullback,0.95,1.31552,1.31816,1.30186,362739,659.165843,"{""session"": ""london_ny_overlap"", ""session_quality"": 1.0, ""volatility"": 0.001005003495825594, ""spread_pips"": 1.2999999999996348, ""trend_strength"": -0.4, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.75, ""regime"": ""neutral""}","{""rsi"": 48.874621662639115, ""macd"": 8.718523579887005e-05, ""macd_signal"": 0.00010772263483608757, ""bb_upper"": 1.3179712865217594, ""bb_lower"": 1.3138387134782434, ""atr"": 0.001005003495825594, ""momentum"": -0.0009600000000000719, ""stoch_k"": 28.985705908140968, ""stoch_d"": 38.28304560117615}",EXECUTED,,,,,,,,,,london_ny_overlap,0.0,True
2025-11-05T01:10:14.523888,19774,USD_JPY,sell,volatility_breakout,0.8999999999999999,153.132,153.386,151.756,473614,672.907815,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.10007279374577896, ""spread_pips"": 1.6999999999995907, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.8, ""regime"": ""neutral""}","{""rsi"": 19.713614876676647, ""macd"": -0.09175936674125751, ""macd_signal"": -0.054282134365963, ""bb_upper"": 153.789386438731, ""bb_lower"": 153.2487135612689, ""atr"": 0.10007279374577896, ""momentum"": -0.4280000000000257, ""stoch_k"": 9.318186361772188, ""stoch_d"": 11.510925478115189}",EXECUTED,,2025-11-05T01:10:14.523888,,,,,,,,,tokyo,0.0,True
2025-11-06T14:00:33.377413,19817,GBP_USD,buy,trend_following,0.8550000000000001,1.31068,1.30807,1.32437,343090,659.1772980000001,"{""session"": ""london_ny_overlap"", ""session_quality"": 1.0, ""volatility"": 0.001065803155008258, ""spread_pips"": 0.8999999999992347, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 0.55, ""regime"": ""neutral""}","{""rsi"": 57.63589627732565, ""macd"": 0.0008212911878009432, ""macd_signal"": 0.0006375568432059514, ""bb_upper"": 1.3123536276001522, ""bb_lower"": 1.307071372399847, ""atr"": 0.001065803155008258, ""momentum"": 0.0013199999999999878, ""stoch_k"": 75.88656511542884, ""stoch_d"": 83.46583717980802}",EXECUTED,,2025-11-06T14:00:33.377413,,,,,,,,,london_ny_overlap,0.0,True
2025-11-19T15:00:32.880004,20102,EUR_JPY,buy,trend_following,0.9,180.97,180.72400000000002,182.354,402119,493.63300000000004,"{""session"": ""london_ny_overlap"", ""session_quality"": 1.0, ""volatility"": 0.10387673369517088, ""spread_pips"": 2.2999999999996135, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 62.58869798867865, ""macd"": 0.02197048810501201, ""macd_signal"": 0.008139349072051263, ""bb_upper"": 180.97561070826865, ""bb_lower"": 180.72088929173137, ""atr"": 0.10387673369517088, ""momentum"": 0.13399999999998613, ""stoch_k"": 85.45766027702024, ""stoch_d"": 78.64121142586714}",EXECUTED,,2025-11-19T15:00:32.880004,,,,,,,,,london_ny_overlap,0.0,True
2025-11-21T15:01:35.205192,20162,USD_JPY,sell,trend_following,0.8800000000000001,156.496,156.757,155.127,407083,492.611113,"{""session"": ""london_ny_overlap"", ""session_quality"": 1.0, ""volatility"": 0.10897302494751666, ""spread_pips"": 1.8000000000000682, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -0.8, ""regime"": ""neutral""}","{""rsi"": 43.17815944585234, ""macd"": -0.00864801404463833, ""macd_signal"": 0.006045333455280253, ""bb_upper"": 156.92749163951143, ""bb_lower"": 156.6868083604883, ""atr"": 0.10897302494751666, ""momentum"": -0.12100000000000932, ""stoch_k"": 16.361788617889104, ""stoch_d"": 28.406415211697066}",EXECUTED,,2025-11-21T15:01:35.205192,,,,,,,,,london_ny_overlap,0.0,True
2025-11-26T01:31:27.803549,20249,AUD_USD,buy,trend_following,0.8800000000000001,0.64871,0.6462100000000001,0.6580100000000001,303705,660.1373745,"{""session"": ""tokyo"", ""session_quality"": 0.7, ""volatility"": 0.0005251506536371078, ""spread_pips"": 1.40000000000029, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 0.8, ""regime"": ""neutral""}","{""rsi"": 65.46425581607694, ""macd"": 0.0003347808004755537, ""macd_signal"": 0.00027922472899272665, ""bb_upper"": 0.6487191424295757, ""bb_lower"": 0.6467478575704242, ""atr"": 0.0005251506536371078, ""momentum"": 0.0003300000000000525, ""stoch_k"": 63.6109648352942, ""stoch_d"": 61.784334575611325}",EXECUTED,,2025-11-26T01:31:27.803549,,,,,,,,,tokyo,0.0,True
2025-11-26T16:00:31.319194,20263,GBP_USD,buy,momentum_pullback,0.95,1.32286,1.3202500000000001,1.33205,358616,649.458639,"{""session"": ""london_ny_overlap"", ""session_quality"": 1.0, ""volatility"": 0.001284951115803699, ""spread_pips"": 1.2000000000012, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 61.38449038606002, ""macd"": 0.0008335277003903574, ""macd_signal"": 0.0007864715971619679, ""bb_upper"": 1.3233689044096848, ""bb_lower"": 1.3184730955903157, ""atr"": 0.001284951115803699, ""momentum"": 0.0011900000000000244, ""stoch_k"": 68.5007974481655, ""stoch_d"": 62.81639554102306}",EXECUTED,,2025-11-26T16:00:31.319194,,,,,,,,,london_ny_overlap,0.0,True
2025-12-03T16:01:15.135399,20696,USD_JPY,sell,trend_following,0.9,155.223,155.483,154.303,499656,592.483728,"{""session"": ""london_ny_overlap"", ""session_quality"": 1.0, ""volatility"": 0.11969659185799585, ""spread_pips"": 1.6000000000019554, ""trend_strength"": -1.0, ""trend_direction"": ""bearish"", ""order_flow"": 0.0, ""multi_tf_bias"": -1.0, ""regime"": ""neutral""}","{""rsi"": 40.20271465862023, ""macd"": -0.03576698969877157, ""macd_signal"": -0.02218925345056417, ""bb_upper"": 155.54200598418447, ""bb_lower"": 155.20989401581573, ""atr"": 0.11969659185799585, ""momentum"": -0.146000000000015, ""stoch_k"": 12.822562173173411, ""stoch_d"": 24.194999071335292}",EXECUTED,,2025-12-03T16:01:15.135399,,,,,,,,,london_ny_overlap,0.0,True
2025-12-11T16:02:37.312545,21639,GBP_USD,buy,momentum_pullback,0.95,1.34373,1.3411600000000001,1.35296,350183,624.3072975,"{""session"": ""london_ny_overlap"", ""session_quality"": 1.0, ""volatility"": 0.0007821319931885289, ""spread_pips"": 1.40000000000029, ""trend_strength"": 0.5, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 1.0, ""regime"": ""neutral""}","{""rsi"": 69.0093832195337, ""macd"": 0.0006556622981686022, ""macd_signal"": 0.000663613239056131, ""bb_upper"": 1.343280452523874, ""bb_lower"": 1.341379547476127, ""atr"": 0.0007821319931885289, ""momentum"": 0.0008000000000001339, ""stoch_k"": 85.97206236454537, ""stoch_d"": 84.27756113766155}",EXECUTED,,2025-12-11T16:02:37.312545,,,,,,,,,london_ny_overlap,0.0,True
2025-12-16T16:15:54.589752,22053,GBP_USD,buy,trend_following,0.8550000000000001,1.34217,1.3395700000000001,1.35137,296057,555.5211045,"{""session"": ""london_ny_overlap"", ""session_quality"": 1.0, ""volatility"": 0.0010203652766951432, ""spread_pips"": 1.40000000000029, ""trend_strength"": 0.4, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 0.55, ""regime"": ""neutral""}","{""rsi"": 51.46679467966223, ""macd"": -0.00027485787919978577, ""macd_signal"": -0.0002749463144595084, ""bb_upper"": 1.3442651711919262, ""bb_lower"": 1.3402928288080742, ""atr"": 0.0010203652766951432, ""momentum"": 0.0014199999999999768, ""stoch_k"": 36.15769673227059, ""stoch_d"": 30.939001682402544}",EXECUTED,,2025-12-16T16:15:54.589752,,,,,,,,,london_ny_overlap,0.0,True
2025-12-19T16:01:47.511782,22492,USD_JPY,buy,trend_following,0.895,157.471,157.21800000000002,158.39800000000002,467761,547.878369,"{""session"": ""london_ny_overlap"", ""session_quality"": 1.0, ""volatility"": 0.08659827034192444, ""spread_pips"": 1.8000000000000682, ""trend_strength"": 1.0, ""trend_direction"": ""bullish"", ""order_flow"": 0.0, ""multi_tf_bias"": 0.95, ""regime"": ""neutral""}","{""rsi"": 60.77166828095755, ""macd"": 0.05134496350615336, ""macd_signal"": 0.04538110709248759, ""bb_upper"": 157.55600705304778, ""bb_lower"": 157.21749294695223, ""atr"": 0.08659827034192444, ""momentum"": 0.09000000000000341, ""stoch_k"": 80.66673711834834, ""stoch_d"": 81.65968390826042}",EXECUTED,,2025-12-19T16:01:47.511782,,,,,,,,,london_ny_overlap,0.0,True
