"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"27409","2026-03-03 10:12:47 GMT","LIMIT_ORDER","CLIENT_ORDER","EUR/GBP","0.87229","106522.00","Sell","","0.87804","","0.85904","","","","","","","","",""
"27410","2026-03-03 10:12:48 GMT","ORDER_FILL","LIMIT_ORDER","EUR/GBP","0.87230","106522.00","Sell","6.3913","","","","","0.00000","0.0000","0.0000","","","0.00000","","64742.85"
"27411","2026-03-03 10:12:48 GMT","TAKE_PROFIT_ORDER","ON_FILL","","0.85904","","","","","","","","","","","","","","",""
"27412","2026-03-03 10:12:48 GMT","STOP_LOSS_ORDER","ON_FILL","","0.87804","","","","","","","","","","","","","","",""
"27413","2026-03-03 10:38:27 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.15926","127010.00","Buy","4.2999","","","","","0.00000","0.0000","0.0000","","0.7486","1263.54510","","66006.40"
"27414","2026-03-03 10:38:27 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"27415","2026-03-03 10:38:33 GMT","LIMIT_ORDER","CLIENT_ORDER","EUR/USD","1.15894","136635.00","Sell","","1.16470","","1.14570","","","","","","","","",""
"27416","2026-03-03 10:38:36 GMT","ORDER_FILL","LIMIT_ORDER","EUR/USD","1.15895","136635.00","Sell","3.0843","","","","","0.00000","0.0000","0.0000","","","0.00000","","66006.40"
"27417","2026-03-03 10:38:36 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.14570","","","","","","","","","","","","","","",""
"27418","2026-03-03 10:38:36 GMT","STOP_LOSS_ORDER","ON_FILL","","1.16470","","","","","","","","","","","","","","",""
"27419","2026-03-03 11:16:24 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","GBP/USD","1.32698","123277.00","Buy","6.9679","","","","","0.00000","0.0000","0.0000","","0.7499","1226.69400","","67233.09"
"27420","2026-03-03 11:16:24 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"27421","2026-03-03 11:17:32 GMT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","151863.00","Sell","","1.33228","","1.31328","","","","","","","","",""
"27422","2026-03-03 11:17:32 GMT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.32653","151863.00","Sell","8.0133","","","","","0.00000","0.0000","0.0000","","","0.00000","","67233.09"
"27423","2026-03-03 11:17:32 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.31328","","","","","","","","","","","","","","",""
"27424","2026-03-03 11:17:32 GMT","STOP_LOSS_ORDER","ON_FILL","","1.33228","","","","","","","","","","","","","","",""
"27425","2026-03-03 12:20:36 GMT","ORDER_FILL","STOP_LOSS_ORDER","GBP/USD","1.33230","151863.00","Buy","9.1194","","","","","0.00000","0.0000","0.0000","","0.7544","-661.02500","","66572.07"
"27426","2026-03-03 12:20:36 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"27427","2026-03-03 13:45:54 GMT","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","147791.00","Sell","","1.33602","","1.31702","","","","","","","","",""
"27428","2026-03-03 13:45:54 GMT","ORDER_FILL","MARKET_ORDER","GBP/USD","1.33021","147791.00","Sell","8.8877","","","","","0.00000","0.0000","0.0000","","","0.00000","","66572.07"
"27429","2026-03-03 13:45:54 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.31702","","","","","","","","","","","","","","",""
"27430","2026-03-03 13:45:54 GMT","STOP_LOSS_ORDER","ON_FILL","","1.33602","","","","","","","","","","","","","","",""
"27431","2026-03-03 15:04:21 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","AUD/USD","0.69688","163450.00","Buy","6.7676","","","","","0.00000","0.0000","0.0000","","0.7490","1622.21380","","68194.28"
"27432","2026-03-03 15:04:21 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"27433","2026-03-03 15:05:30 GMT","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","153866.00","Sell","","0.70227","","0.68327","","","","","","","","",""
"27434","2026-03-03 15:05:30 GMT","ORDER_FILL","MARKET_ORDER","AUD/USD","0.69653","153866.00","Sell","8.6864","","","","","0.00000","0.0000","0.0000","","","0.00000","","68194.28"
"27435","2026-03-03 15:05:30 GMT","TAKE_PROFIT_ORDER","ON_FILL","","0.68327","","","","","","","","","","","","","","",""
"27436","2026-03-03 15:05:30 GMT","STOP_LOSS_ORDER","ON_FILL","","0.70227","","","","","","","","","","","","","","",""
"27437","2026-03-03 16:45:01 GMT","ORDER_FILL","STOP_LOSS_ORDER","AUD/USD","0.70227","153866.00","Buy","8.6626","","","","","0.00000","0.0000","0.0000","","0.7544","-666.29390","","67527.99"
"27438","2026-03-03 16:45:01 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"27439","2026-03-03 18:41:08 GMT","ORDER_FILL","STOP_LOSS_ORDER","GBP/USD","1.33603","147791.00","Buy","8.2969","","","","","0.00000","0.0000","0.0000","","0.7523","-647.06100","","66880.93"
"27440","2026-03-03 18:41:08 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"27441","2026-03-03 22:00:00 GMT","DAILY_FINANCING","","","","","","","","","","","6.74210","","","","","","","66887.67"
"","2026-03-03 22:00:00 GMT","DAILY_FINANCING","Trade ID: 27416","EUR/USD","","","","","","","","","2.52590","","","","","","",""
"","2026-03-03 22:00:00 GMT","DAILY_FINANCING","Trade ID: 27410","EUR/GBP","","","","","","","","","1.81770","","","","","","",""
"","2026-03-03 22:00:00 GMT","DAILY_FINANCING","Trade ID: 27403","USD/CAD","","","","","","","","","1.88190","","","","","","",""
"","2026-03-03 22:00:00 GMT","DAILY_FINANCING","Trade ID: 27354","NZD/USD","","","","","","","","","0.51660","","","","","","",""
